Date,Close,High,Low,Open,Volume,Accurate Sentiments,SMA_7,SMA_21,EMA_7,Daily_Return,RSI_14
2020-01-01,7200.17431640625,7254.33056640625,7174.9443359375,7194.89208984375,18565664997,,,,7200.17431640625,,
2020-01-02,6985.47021484375,7212.1552734375,6935.27001953125,7202.55126953125,20802083465,,,,7146.498291015625,-0.029819292162590716,
2020-01-03,7344.88427734375,7413.71533203125,6914.99609375,6984.4287109375,28111481032,,,,7196.094787597656,0.05145166344511276,
2020-01-04,7410.65673828125,7427.3857421875,7309.51416015625,7345.37548828125,18444271275,,,,7249.735275268555,0.008954866877941559,
2020-01-05,7411.3173828125,7544.4970703125,7400.53564453125,7410.45166015625,19725074095,,,,7290.130802154541,8.914790612779555e-05,
2020-01-06,7769.21923828125,7781.8671875,7409.29296875,7410.4521484375,23276261598,,,,7409.902911186218,0.04829126010697582,
2020-01-07,8163.6923828125,8178.2158203125,7768.2275390625,7768.68212890625,28767291327,,7469.344935825893,,7598.350279092789,0.050773846435889336,
2020-01-08,8079.86279296875,8396.73828125,7956.7744140625,8161.935546875,31672559265,,7595.014718191965,,7718.728407561779,-0.010268587535248286,
2020-01-09,7879.0712890625,8082.2958984375,7842.40380859375,8082.2958984375,24045990466,,7722.672014508928,,7758.814127936959,-0.024850855645838776,
2020-01-10,8166.55419921875,8166.55419921875,7726.77490234375,7878.3076171875,28714583844,,7840.053431919643,,7860.749145757407,0.03648690303834745,
2020-01-11,8037.53759765625,8218.359375,8029.64208984375,8162.19091796875,25521165085,,7929.607840401785,,7904.946258732118,-0.015798168776598898,
2020-01-12,8192.494140625,8200.0634765625,8009.05908203125,8033.26171875,22903438381,,8041.204520089285,,7976.833229205338,0.019279106453440997,
2020-01-13,8144.1943359375,8197.7880859375,8079.70068359375,8189.77197265625,22482910688,,8094.772391183035,,8018.673505888379,-0.005895616628883604,
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107,,8189.639857700893,,8220.946291525659,0.08393344808628167,
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650,,8293.518136160714,,8367.46240419112,-0.002350980919464507,76.76608701692263
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931,,8414.191685267857,,8456.543336346465,-0.009449813541879348,80.28268836179538
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320,,8523.117954799107,,8574.667023744223,0.02352785247141642,79.16351376642092
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627,,8652.4423828125,,8666.702416245667,0.0015422162701026476,78.7567778301376
